NAME	LJ_WDEPTH	LJ_RADIUS	LJ_3B_WDEPTH	LJ_3B_RADIUS
#HF2	-0.030000	1.300000	-0.030000	1.300000
N	-0.200000	1.850000	-0.000100	1.850000 # defines 3 bond
#NC	-0.600000	1.850000	-0.600000	1.850000 # from toppar_all22_prot_pyridines.str
NC2	-0.200000	1.850000	-0.200000	1.850000
NH1	-0.200000	1.850000	-0.200000	1.550000 # defines 3 bond
NH2	-0.200000	1.850000	-0.200000	1.850000
NH3	-0.200000	1.850000	-0.200000	1.850000
NN1	-0.200000	1.850000	-0.200000	1.850000
NN2	-0.200000	1.850000	-0.200000	1.850000
NN2B	-0.200000	1.850000	-0.200000	1.850000
NN2U	-0.200000	1.850000	-0.200000	1.850000
NN2G	-0.200000	1.850000	-0.200000	1.850000
NN3	-0.200000	1.850000	-0.200000	1.850000
NN3A	-0.200000	1.850000	-0.200000	1.850000
NN3G	-0.200000	1.850000	-0.200000	1.850000
NN4	-0.200000	1.850000	-0.200000	1.850000
NP	-0.200000	1.850000	-0.200000	1.850000
#NPH	-0.200000	1.850000	-0.200000	1.850000
NR1	-0.200000	1.850000	-0.200000	1.850000
NR2	-0.200000	1.850000	-0.200000	1.850000
NR3	-0.200000	1.850000	-0.200000	1.850000
NZ1	-0.200000	1.850000	-0.200000	1.850000 # not part of any MM package, added for azide-alkyne Huisgen cycloaddition five membered ring
NZ2	-0.200000	1.850000	-0.200000	1.850000 # not part of any MM package, added for azide-alkyne Huisgen cycloaddition five membered ring
NY	-0.200000	1.850000	-0.200000	1.850000
O	-0.120000	1.700000	-0.120000	1.400000 # defines 3 bond
OB	-0.120000	1.700000	-0.120000	1.400000 # defines 3 bond
OC	-0.120000	1.700000	-0.120000	1.700000
#OCA	-0.120000	1.700000	-0.120000	1.400000 # defines 3 bond #from toppar_all22_prot_pyridines.str
OE	-0.100000	1.650000	-0.100000	1.650000 # from par_all35_ethers.prm and top_all35_ethers.rtf (OC30A converted to OE)
OH1	-0.152100	1.770000	-0.152100	1.770000
#OM	-0.120000	1.700000	-0.120000	1.700000
ON1	-0.120000	1.700000	-0.120000	1.700000
ON1C	-0.120000	1.700000	-0.120000	1.700000
ON2	-0.152100	1.770000	-0.152100	1.770000
ON3	-0.120000	1.700000	-0.120000	1.700000
ON6	-0.152100	1.770000	-0.152100	1.770000
OS	-0.152100	1.770000	-0.152100	1.770000
#OST	-0.165000	1.692000	-0.165000	1.692000
#OT	-0.152100	1.768200	-0.152100	1.768200
OT1	-0.152100	1.768200	-0.152100	1.768200 # I can't fid these in any charmm paramater set, giving them the same values as OT
OT2	-0.152100	1.768200	-0.152100	1.768200 # I can't fid these in any charmm paramater set, giving them the same values as OT
P	-0.585000	2.150000	-0.585000	2.150000
S	-0.450000	2.000000	-0.450000	2.000000
SM	-0.380000	1.975000	-0.380000	1.975000
#SP	-0.450000	2.200000	-0.450000	2.200000
#SS	-0.470000	2.200000	-0.470000	2.200000
B2	-0.200000	1.980000	-0.200000	1.980000 # Copied from NR1 with modification to the radius  
F1	-0.135000	1.630000	-0.135000	1.630000
#F2	-0.105000	1.630000	-0.105000	1.630000
F3	-0.097000	1.600000	-0.097000	1.600000
Fe2p	-0.0000		0.7800		-0.0000		0.7800 # from atom_prorerties.txt
Fe3p	-0.0000		0.6500		-0.0000		0.6500 # from atom_prorerties.txt
Mg2p	-0.0150		1.1850		-0.0150		1.1850 # from atom_prorerties.txt
Ca2p	-0.1200		1.3670		-0.1200		1.3670 # from atom_prorerties.txt
Na1p	-0.0469		1.3638		-0.0469		1.3638 # from atom_prorerties.txt
K1p 	-0.0870		1.7638		-0.0870		1.7638 # from atom_prorerties.txt
Zn2p	-0.2500		1.0900		-0.2500		1.0900 # from atom_prorerties.txt
Co2p	-0.250000	1.568000	-0.250000	1.568000 # cobalt, modified from zinc
Cu2p	-0.250000	1.097800	-0.250000	1.097800 # copper, modified from zinc
CL	-0.240000	2.070000	-0.240000	2.070000 # radius/wdepth: taken from MM3 forcefield
BR	-0.320000	2.220000	-0.320000	2.220000 # radius/wdepth: taken from MM3 forcefield
I	-0.424000	2.360000	-0.424000	2.360000 # radius/wdepth: taken from MM3 forcefield
#NXX	-0.200000	3.296300	-0.200000	2.761800  # from Glenn Butterfoss, peptoid nitrogen
NXX	-0.200000	1.850000	-0.200000	1.850000  # peptoid nitrogen, trying much smaller radius
X	 0.000000	0.000000	 0.000000	0.000000
VIRT	 0.000000	0.000000	 0.000000	0.000000
