#Generic QM-derived Ramachandran table for L-alpha-N-methyl_alanine_dimethyl_amide (pre-pro) amino acids.  
#Data created by Tim Craven (twcraven@uw.edu) and formatted by Vikram K. Mulligan (vmullig@uw.edu) on 10 November 2016.
#Resname	phi	psi	probability	-log(prob)
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-170 	2.1640007616e-08 	17.648722031
GENERIC_L_ALPHA_NMETHYL_AA	0 	-170 	1.72287446582e-07 	15.574101554
GENERIC_L_ALPHA_NMETHYL_AA	10 	-170 	5.18208356227e-07 	14.4728884435
GENERIC_L_ALPHA_NMETHYL_AA	20 	-170 	5.84250693072e-07 	14.3529356773
GENERIC_L_ALPHA_NMETHYL_AA	30 	-170 	1.01874242174e-07 	16.0995267042
GENERIC_L_ALPHA_NMETHYL_AA	40 	-170 	1.26580100192e-07 	15.8823905261
GENERIC_L_ALPHA_NMETHYL_AA	50 	-170 	1.95186522358e-07 	15.4493102106
GENERIC_L_ALPHA_NMETHYL_AA	60 	-170 	7.57983437134e-08 	16.3951893953
GENERIC_L_ALPHA_NMETHYL_AA	70 	-170 	3.69364011127e-08 	17.1140682921
GENERIC_L_ALPHA_NMETHYL_AA	80 	-170 	3.42090552476e-08 	17.1907754546
GENERIC_L_ALPHA_NMETHYL_AA	90 	-170 	5.29980012673e-08 	16.753011636
GENERIC_L_ALPHA_NMETHYL_AA	100 	-170 	1.79902865263e-07 	15.5308487691
GENERIC_L_ALPHA_NMETHYL_AA	110 	-170 	3.66020710841e-07 	14.8205759181
GENERIC_L_ALPHA_NMETHYL_AA	120 	-170 	1.20310857461e-07 	15.9331869648
GENERIC_L_ALPHA_NMETHYL_AA	130 	-170 	9.89179331292e-08 	16.1289752889
GENERIC_L_ALPHA_NMETHYL_AA	140 	-170 	8.79994696902e-08 	16.2459350487
GENERIC_L_ALPHA_NMETHYL_AA	150 	-170 	8.80494803753e-08 	16.2453669035
GENERIC_L_ALPHA_NMETHYL_AA	160 	-170 	2.44799328621e-07 	15.2228270289
GENERIC_L_ALPHA_NMETHYL_AA	170 	-170 	8.28361567676e-08 	16.3064011949
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-160 	1.30218160478e-09 	20.4592248215
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-160 	1.8705393475e-08 	17.7944539335
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-160 	1.15039870826e-07 	15.9779870658
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-160 	3.15466741663e-07 	14.9692125752
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-160 	5.36672534093e-07 	14.4378777346
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-160 	6.60406670547e-07 	14.2304100242
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-160 	6.20526829065e-07 	14.2926969954
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-160 	5.70474168215e-07 	14.3767979479
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-160 	8.2806935363e-07 	14.0041689256
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-160 	3.96240873343e-08 	17.0438286376
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-160 	2.23946551141e-08 	17.6144435175
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-160 	1.35524037803e-08 	18.1167019046
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-160 	4.23946494836e-09 	19.2788287671
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-160 	1.73034505783e-09 	20.1749449929
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-160 	1.86347100903e-09 	20.1008249544
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-160 	2.27942992876e-09 	19.8993404565
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-160 	8.39587369826e-09 	18.5955254782
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-160 	4.84357676339e-08 	16.8430272955
GENERIC_L_ALPHA_NMETHYL_AA	0 	-160 	1.36358136861e-07 	15.8079810532
GENERIC_L_ALPHA_NMETHYL_AA	10 	-160 	3.87414866269e-07 	14.7637697122
GENERIC_L_ALPHA_NMETHYL_AA	20 	-160 	6.04731942316e-07 	14.3184805477
GENERIC_L_ALPHA_NMETHYL_AA	30 	-160 	2.04574531842e-07 	15.402333469
GENERIC_L_ALPHA_NMETHYL_AA	40 	-160 	4.22141400614e-07 	14.6779255065
GENERIC_L_ALPHA_NMETHYL_AA	50 	-160 	3.96469292846e-07 	14.7406672444
GENERIC_L_ALPHA_NMETHYL_AA	60 	-160 	6.24571999806e-08 	16.5887843151
GENERIC_L_ALPHA_NMETHYL_AA	70 	-160 	2.63947926785e-08 	17.4500990933
GENERIC_L_ALPHA_NMETHYL_AA	80 	-160 	2.67851583192e-08 	17.4354178969
GENERIC_L_ALPHA_NMETHYL_AA	90 	-160 	5.82787795072e-08 	16.6580277977
GENERIC_L_ALPHA_NMETHYL_AA	100 	-160 	2.37190586956e-07 	15.2544018546
GENERIC_L_ALPHA_NMETHYL_AA	110 	-160 	4.86097937909e-07 	14.536855715
GENERIC_L_ALPHA_NMETHYL_AA	120 	-160 	1.7810347553e-07 	15.5409011324
GENERIC_L_ALPHA_NMETHYL_AA	130 	-160 	1.14107600162e-07 	15.9861239726
GENERIC_L_ALPHA_NMETHYL_AA	140 	-160 	1.13964083683e-07 	15.9873824936
GENERIC_L_ALPHA_NMETHYL_AA	150 	-160 	1.72040286245e-07 	15.5755371652
GENERIC_L_ALPHA_NMETHYL_AA	160 	-160 	3.34400907278e-07 	14.9109252426
GENERIC_L_ALPHA_NMETHYL_AA	170 	-160 	3.92239208391e-08 	17.0539790508
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-150 	1.96208825889e-10 	22.3518415857
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-150 	5.11633745023e-09 	19.0908269956
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-150 	3.17480504825e-08 	17.2654345156
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-150 	3.2094234514e-08 	17.2545894331
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-150 	2.94884427764e-08 	17.3392674207
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-150 	2.4292235288e-08 	17.5331090731
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-150 	1.50822575882e-08 	18.0097467781
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-150 	6.09633055172e-09 	18.9155787957
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-150 	1.56610776685e-05 	11.0643320531
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-150 	3.3592862534e-10 	21.8141224031
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-150 	4.02250448878e-08 	17.0287760281
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-150 	8.8590843548e-08 	16.2392373306
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-150 	1.07733211418e-07 	16.0436079306
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-150 	1.26714711229e-07 	15.8813276456
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-150 	8.34558640879e-07 	13.9963628256
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-150 	3.46315221558e-10 	21.7836717107
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-150 	9.53354241706e-08 	16.1658643832
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-150 	8.81375976139e-08 	16.2443666344
GENERIC_L_ALPHA_NMETHYL_AA	0 	-150 	9.90809048964e-08 	16.1273290994
GENERIC_L_ALPHA_NMETHYL_AA	10 	-150 	1.35438011885e-07 	15.8147517782
GENERIC_L_ALPHA_NMETHYL_AA	20 	-150 	1.38730748067e-05 	11.1855606606
GENERIC_L_ALPHA_NMETHYL_AA	30 	-150 	9.93543156402e-09 	18.4271585231
GENERIC_L_ALPHA_NMETHYL_AA	40 	-150 	2.07973865002e-05 	10.7806832282
GENERIC_L_ALPHA_NMETHYL_AA	50 	-150 	9.14108130147e-07 	13.9053169682
GENERIC_L_ALPHA_NMETHYL_AA	60 	-150 	2.4203225002e-08 	17.5367799481
GENERIC_L_ALPHA_NMETHYL_AA	70 	-150 	2.12503580868e-08 	17.6668920906
GENERIC_L_ALPHA_NMETHYL_AA	80 	-150 	1.49942247646e-08 	18.0156007257
GENERIC_L_ALPHA_NMETHYL_AA	90 	-150 	7.11984491936e-08 	16.4577947998
GENERIC_L_ALPHA_NMETHYL_AA	100 	-150 	2.73904263988e-07 	15.1104871931
GENERIC_L_ALPHA_NMETHYL_AA	110 	-150 	2.12543241234e-06 	13.0615352881
GENERIC_L_ALPHA_NMETHYL_AA	120 	-150 	1.40369967046e-07 	15.7789842782
GENERIC_L_ALPHA_NMETHYL_AA	130 	-150 	1.43078564368e-07 	15.7598719564
GENERIC_L_ALPHA_NMETHYL_AA	140 	-150 	1.15556802576e-07 	15.9735036307
GENERIC_L_ALPHA_NMETHYL_AA	150 	-150 	2.71826312088e-07 	15.1181025331
GENERIC_L_ALPHA_NMETHYL_AA	160 	-150 	1.75594018223e-06 	13.2525061281
GENERIC_L_ALPHA_NMETHYL_AA	170 	-150 	1.9647568964e-08 	17.7453122231
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-140 	4.23700845971e-10 	21.5819934617
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-140 	6.94455979327e-09 	18.7853072474
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-140 	5.0338623166e-08 	16.8044931983
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-140 	8.81520633289e-08 	16.2442025214
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-140 	8.11692442069e-08 	16.3267294275
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-140 	7.67175763718e-08 	16.3831349974
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-140 	8.76247070782e-08 	16.2502028345
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-140 	1.96783711323e-07 	15.4411606234
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-140 	1.95013783434e-07 	15.4501955966
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-140 	1.1250782204e-07 	16.0002430885
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-140 	6.52106382154e-08 	16.5456432185
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-140 	1.40912252913e-07 	15.7751284601
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-140 	1.732475254e-07 	15.5685444824
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-140 	2.06457896223e-07 	15.3931693377
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-140 	7.45322748805e-08 	16.4120335855
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-140 	2.6588066941e-08 	17.4428033331
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-140 	1.52273525532e-08 	18.0001725162
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-140 	2.94146361572e-08 	17.341773458
GENERIC_L_ALPHA_NMETHYL_AA	0 	-140 	4.13425960373e-08 	17.0013724874
GENERIC_L_ALPHA_NMETHYL_AA	10 	-140 	1.54372130862e-07 	15.6838997152
GENERIC_L_ALPHA_NMETHYL_AA	20 	-140 	6.88996845172e-07 	14.1880291448
GENERIC_L_ALPHA_NMETHYL_AA	30 	-140 	1.19727713711e-06 	13.6354606318
GENERIC_L_ALPHA_NMETHYL_AA	40 	-140 	2.26362955804e-06 	12.9985410338
GENERIC_L_ALPHA_NMETHYL_AA	50 	-140 	9.69624693338e-07 	13.8463567544
GENERIC_L_ALPHA_NMETHYL_AA	60 	-140 	1.41748678453e-07 	15.7692102175
GENERIC_L_ALPHA_NMETHYL_AA	70 	-140 	6.53225970853e-08 	16.5439278102
GENERIC_L_ALPHA_NMETHYL_AA	80 	-140 	7.87353220095e-08 	16.3571739638
GENERIC_L_ALPHA_NMETHYL_AA	90 	-140 	1.46412590972e-07 	15.7368372352
GENERIC_L_ALPHA_NMETHYL_AA	100 	-140 	2.74394312904e-07 	15.1086996669
GENERIC_L_ALPHA_NMETHYL_AA	110 	-140 	4.09968784452e-07 	14.7071848156
GENERIC_L_ALPHA_NMETHYL_AA	120 	-140 	3.47538032941e-07 	14.8723917306
GENERIC_L_ALPHA_NMETHYL_AA	130 	-140 	2.37564728444e-07 	15.2528257098
GENERIC_L_ALPHA_NMETHYL_AA	140 	-140 	2.74131144315e-07 	15.1096592162
GENERIC_L_ALPHA_NMETHYL_AA	150 	-140 	5.25451753566e-07 	14.4590074614
GENERIC_L_ALPHA_NMETHYL_AA	160 	-140 	3.64578065439e-07 	14.8245251371
GENERIC_L_ALPHA_NMETHYL_AA	170 	-140 	2.20977733477e-08 	17.627788987
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-130 	9.14955818442e-10 	20.8121453377
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-130 	1.56300196803e-08 	17.9740724334
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-130 	1.01725401524e-07 	16.1009887959
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-130 	2.32647966257e-07 	15.2737394003
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-130 	2.91243555634e-07 	15.0491059589
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-130 	2.81908157209e-07 	15.0816845027
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-130 	4.22209692346e-07 	14.677763745
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-130 	7.54114192352e-07 	14.0977220317
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-130 	5.51171883967e-07 	14.4112191273
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-130 	3.88916465204e-07 	14.7599012588
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-130 	2.21483385656e-07 	15.3229182586
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-130 	2.47002173388e-07 	15.2138687012
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-130 	2.81777955232e-07 	15.082146469
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-130 	2.18169520095e-07 	15.3379934612
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-130 	1.07597243509e-07 	16.0448708075
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-130 	4.64994123035e-08 	16.8838261631
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-130 	1.90895016743e-08 	17.7741273036
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-130 	1.26272546961e-08 	18.1874082879
GENERIC_L_ALPHA_NMETHYL_AA	0 	-130 	1.50758998883e-08 	18.010168402
GENERIC_L_ALPHA_NMETHYL_AA	10 	-130 	7.86807242716e-08 	16.3578676382
GENERIC_L_ALPHA_NMETHYL_AA	20 	-130 	5.50093221428e-07 	14.4131780796
GENERIC_L_ALPHA_NMETHYL_AA	30 	-130 	2.4974489438e-06 	12.9002407696
GENERIC_L_ALPHA_NMETHYL_AA	40 	-130 	3.63965529254e-06 	12.5236215807
GENERIC_L_ALPHA_NMETHYL_AA	50 	-130 	1.16744935116e-06 	13.6606892306
GENERIC_L_ALPHA_NMETHYL_AA	60 	-130 	3.87672043005e-07 	14.7631061047
GENERIC_L_ALPHA_NMETHYL_AA	70 	-130 	2.27085354172e-07 	15.2979398806
GENERIC_L_ALPHA_NMETHYL_AA	80 	-130 	1.91824077391e-07 	15.4666871485
GENERIC_L_ALPHA_NMETHYL_AA	90 	-130 	2.35099401651e-07 	15.2632574265
GENERIC_L_ALPHA_NMETHYL_AA	100 	-130 	3.20645920819e-07 	14.952928373
GENERIC_L_ALPHA_NMETHYL_AA	110 	-130 	4.04601555636e-07 	14.7203630673
GENERIC_L_ALPHA_NMETHYL_AA	120 	-130 	3.34881641699e-07 	14.9094886759
GENERIC_L_ALPHA_NMETHYL_AA	130 	-130 	2.81940117364e-07 	15.0815711383
GENERIC_L_ALPHA_NMETHYL_AA	140 	-130 	3.49135871188e-07 	14.8678046748
GENERIC_L_ALPHA_NMETHYL_AA	150 	-130 	6.69340992657e-07 	14.2169722017
GENERIC_L_ALPHA_NMETHYL_AA	160 	-130 	4.05714350783e-07 	14.7176164945
GENERIC_L_ALPHA_NMETHYL_AA	170 	-130 	3.22863175814e-08 	17.2486223008
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-120 	1.97579060241e-09 	20.0422972137
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-120 	3.97933609831e-08 	17.039565748
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-120 	2.95695534216e-07 	15.0339355126
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-120 	7.04599599064e-07 	14.1656361401
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-120 	9.55962216402e-07 	13.8605474473
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-120 	1.04964247453e-06 	13.7670609522
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-120 	1.88340321296e-06 	13.1824301979
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-120 	3.12497354083e-06 	12.6760847417
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-120 	2.09918777543e-06 	13.0739600617
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-120 	1.21409727341e-06 	13.6215097422
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-120 	5.23849680244e-07 	14.4620610635
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-120 	4.26724205553e-07 	14.667127921
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-120 	4.0390958519e-07 	14.7220747831
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-120 	3.17882140735e-07 	14.9615851495
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-120 	1.67981739783e-07 	15.5994105552
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-120 	6.89703329982e-08 	16.4895893814
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-120 	2.30815707247e-08 	17.584231342
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-120 	9.18403927637e-09 	18.5057987208
GENERIC_L_ALPHA_NMETHYL_AA	0 	-120 	4.31886714883e-09 	19.2602727031
GENERIC_L_ALPHA_NMETHYL_AA	10 	-120 	6.82464251472e-08 	16.500140783
GENERIC_L_ALPHA_NMETHYL_AA	20 	-120 	6.83200110798e-07 	14.1964780323
GENERIC_L_ALPHA_NMETHYL_AA	30 	-120 	3.66115507678e-06 	12.5177318656
GENERIC_L_ALPHA_NMETHYL_AA	40 	-120 	4.71746783165e-05 	9.96165328567
GENERIC_L_ALPHA_NMETHYL_AA	50 	-120 	1.43954282109e-07 	15.7537700731
GENERIC_L_ALPHA_NMETHYL_AA	60 	-120 	3.99329682769e-06 	12.4308933956
GENERIC_L_ALPHA_NMETHYL_AA	70 	-120 	5.3180242767e-07 	14.4469937931
GENERIC_L_ALPHA_NMETHYL_AA	80 	-120 	3.27098390084e-07 	14.9330048242
GENERIC_L_ALPHA_NMETHYL_AA	90 	-120 	3.24446306629e-07 	14.9411457794
GENERIC_L_ALPHA_NMETHYL_AA	100 	-120 	3.89426339036e-07 	14.7585911062
GENERIC_L_ALPHA_NMETHYL_AA	110 	-120 	4.40947140325e-07 	14.6343408319
GENERIC_L_ALPHA_NMETHYL_AA	120 	-120 	3.40895428509e-07 	14.891690068
GENERIC_L_ALPHA_NMETHYL_AA	130 	-120 	2.91256117187e-07 	15.0490628291
GENERIC_L_ALPHA_NMETHYL_AA	140 	-120 	3.62093391405e-07 	14.8313636711
GENERIC_L_ALPHA_NMETHYL_AA	150 	-120 	7.93680297417e-07 	14.0465851049
GENERIC_L_ALPHA_NMETHYL_AA	160 	-120 	7.44002085973e-07 	14.1112219984
GENERIC_L_ALPHA_NMETHYL_AA	170 	-120 	5.71550672113e-08 	16.6774977855
GENERIC_L_ALPHA_NMETHYL_AA	-180 	-110 	4.26659782458e-09 	19.2724490897
GENERIC_L_ALPHA_NMETHYL_AA	-170 	-110 	9.8419444575e-08 	16.1340274449
GENERIC_L_ALPHA_NMETHYL_AA	-160 	-110 	1.78986480301e-06 	13.23337047
GENERIC_L_ALPHA_NMETHYL_AA	-150 	-110 	2.6353078154e-06 	12.8465105648
GENERIC_L_ALPHA_NMETHYL_AA	-140 	-110 	2.0078644927e-06 	13.1184388421
GENERIC_L_ALPHA_NMETHYL_AA	-130 	-110 	3.54031258345e-06 	12.5512955343
GENERIC_L_ALPHA_NMETHYL_AA	-120 	-110 	1.42183895579e-05 	11.1609743919
GENERIC_L_ALPHA_NMETHYL_AA	-110 	-110 	1.24738319984e-05 	11.2918775481
GENERIC_L_ALPHA_NMETHYL_AA	-100 	-110 	8.16348435988e-06 	11.7158394752
GENERIC_L_ALPHA_NMETHYL_AA	-90 	-110 	4.01835033842e-06 	12.4246391031
GENERIC_L_ALPHA_NMETHYL_AA	-80 	-110 	8.81148257944e-07 	13.9420399415
GENERIC_L_ALPHA_NMETHYL_AA	-70 	-110 	5.46036112137e-07 	14.4205807239
GENERIC_L_ALPHA_NMETHYL_AA	-60 	-110 	5.07261796456e-07 	14.4942386028
GENERIC_L_ALPHA_NMETHYL_AA	-50 	-110 	5.4290002226e-07 	14.426340655
GENERIC_L_ALPHA_NMETHYL_AA	-40 	-110 	3.01973744325e-07 	15.0129257627
GENERIC_L_ALPHA_NMETHYL_AA	-30 	-110 	1.04439532367e-07 	16.0746575706
GENERIC_L_ALPHA_NMETHYL_AA	-20 	-110 	2.67134142022e-08 	17.4380999931
GENERIC_L_ALPHA_NMETHYL_AA	-10 	-110 	4.17636324949e-09 	19.2938250051
GENERIC_L_ALPHA_NMETHYL_AA	0 	-110 	2.94811151159e-11 	24.2472712231
GENERIC_L_ALPHA_NMETHYL_AA	10 	-110 	6.85395598705e-08 	16.495854742
GENERIC_L_ALPHA_NMETHYL_AA	20 	-110 	2.17073942876e-06 	13.0404426979
GENERIC_L_ALPHA_NMETHYL_AA	30 	-110 	1.93185657087e-05 	10.8544439706
GENERIC_L_ALPHA_NMETHYL_AA	40 	-110 	9.47924596512e-06 	11.5664057844
GENERIC_L_ALPHA_NMETHYL_AA	50 	-110 	5.37799820485e-07 	14.4357794269
GENERIC_L_ALPHA_NMETHYL_AA	60 	-110 	6.80794322856e-06 	11.8974205057
