# Generic MM-derived Ramachandran table for oligo-urea L-alanine, at pre-proline
# positions.  Data created by Tim Craven (twcraven@uw.edu) on 19 Sept 2017.  Added
# to Rosetta by Vikram K. Mulligan (vmullig@uw.edu) on 26 Sept 2017.
@N_MAINCHAIN_TORSIONS 3
@N_MAINCHAIN_TORSIONS_TOTAL 4
@MAINCHAIN_TORSIONS_PROVIDED 1 2 3
@DIMENSIONS 36 36 36
@OFFSETS 5 5 5
#Resname	phi	theta	psi	probability	-log(prob)
GENERIC_OLIGOUREA_ALA	-180 	-130 	-90 	3.62049138318e-05 	10.2263157071
GENERIC_OLIGOUREA_ALA	-180 	-130 	-80 	3.21545801065e-05 	10.3449556569
GENERIC_OLIGOUREA_ALA	-180 	-130 	-70 	8.22457080297e-06 	11.7083844447
GENERIC_OLIGOUREA_ALA	-180 	-130 	-60 	8.9054375808e-09 	18.5366037826
GENERIC_OLIGOUREA_ALA	-180 	-130 	-50 	2.26252805099e-20 	45.2352190651
GENERIC_OLIGOUREA_ALA	-180 	-130 	-40 	1.16278727693e-38 	87.3474135859
GENERIC_OLIGOUREA_ALA	-180 	-130 	-30 	5.35209211434e-57 	129.569862767
GENERIC_OLIGOUREA_ALA	-180 	-130 	-20 	1.02920619045e-71 	163.454753786
GENERIC_OLIGOUREA_ALA	-180 	-130 	-10 	4.65974056501e-85 	194.180773131
GENERIC_OLIGOUREA_ALA	-180 	-130 	0 	2.5968082298e-93 	213.186130561
GENERIC_OLIGOUREA_ALA	-180 	-130 	10 	5.78800547145e-93 	212.384625894
GENERIC_OLIGOUREA_ALA	-180 	-130 	20 	1.11638421697e-83 	191.004467633
GENERIC_OLIGOUREA_ALA	-180 	-130 	30 	2.11641382461e-66 	151.220893073
GENERIC_OLIGOUREA_ALA	-180 	-130 	40 	3.79406319192e-49 	111.49323203
GENERIC_OLIGOUREA_ALA	-180 	-130 	50 	1.7458262865e-31 	70.8229099226
GENERIC_OLIGOUREA_ALA	-180 	-130 	60 	7.87399832152e-16 	34.7777955086
GENERIC_OLIGOUREA_ALA	-180 	-130 	70 	3.96310978868e-07 	14.7410666337
GENERIC_OLIGOUREA_ALA	-180 	-130 	80 	2.0266268527e-05 	10.8065527029
GENERIC_OLIGOUREA_ALA	-180 	-130 	90 	3.5118987147e-05 	10.2567686294
GENERIC_OLIGOUREA_ALA	-180 	-130 	100 	2.81894526092e-05 	10.4765626709
GENERIC_OLIGOUREA_ALA	-180 	-130 	110 	1.85200867034e-05 	10.8966546472
GENERIC_OLIGOUREA_ALA	-180 	-130 	120 	1.39289055777e-05 	11.1815443391
GENERIC_OLIGOUREA_ALA	-180 	-130 	130 	1.47352868728e-05 	11.1252654732
GENERIC_OLIGOUREA_ALA	-180 	-130 	140 	2.11805277309e-05 	10.7624283016
GENERIC_OLIGOUREA_ALA	-180 	-130 	150 	3.3735823812e-05 	10.2969502641
GENERIC_OLIGOUREA_ALA	-180 	-130 	160 	4.96499236078e-05 	9.91051370609
GENERIC_OLIGOUREA_ALA	-180 	-130 	170 	6.26801430654e-05 	9.67746585801
GENERIC_OLIGOUREA_ALA	-180 	-130 	180 	6.75098267382e-05 	9.60323738938
GENERIC_OLIGOUREA_ALA	-180 	-120 	-180 	6.95456077798e-05 	9.57352779357
GENERIC_OLIGOUREA_ALA	-180 	-120 	-170 	6.43772592461e-05 	9.65075010451
GENERIC_OLIGOUREA_ALA	-180 	-120 	-160 	5.09143889005e-05 	9.88536498476
GENERIC_OLIGOUREA_ALA	-180 	-120 	-150 	3.450703687e-05 	10.2743472875
GENERIC_OLIGOUREA_ALA	-180 	-120 	-140 	2.14374411216e-05 	10.7503715796
GENERIC_OLIGOUREA_ALA	-180 	-120 	-130 	1.45356677027e-05 	11.1389050874
GENERIC_OLIGOUREA_ALA	-180 	-120 	-120 	1.32492940608e-05 	11.2315662854
GENERIC_OLIGOUREA_ALA	-180 	-120 	-110 	1.70723921331e-05 	10.9780478943
GENERIC_OLIGOUREA_ALA	-180 	-120 	-100 	2.5627203876e-05 	10.5718561193
GENERIC_OLIGOUREA_ALA	-180 	-120 	-90 	3.20859362157e-05 	10.347092748
GENERIC_OLIGOUREA_ALA	-180 	-120 	-80 	1.99088135417e-05 	10.8243480327
GENERIC_OLIGOUREA_ALA	-180 	-120 	-70 	8.39717808317e-07 	13.990199944
GENERIC_OLIGOUREA_ALA	-180 	-120 	-60 	1.60585444896e-14 	31.76253532
GENERIC_OLIGOUREA_ALA	-180 	-120 	-50 	3.58922708106e-29 	65.4970308153
GENERIC_OLIGOUREA_ALA	-180 	-120 	-40 	4.74565123073e-48 	108.966855795
GENERIC_OLIGOUREA_ALA	-180 	-120 	-30 	3.3889545573e-64 	146.144924468
GENERIC_OLIGOUREA_ALA	-180 	-120 	-20 	1.40966091446e-79 	181.560873157
GENERIC_OLIGOUREA_ALA	-180 	-120 	-10 	1.80564346912e-91 	208.944326442
GENERIC_OLIGOUREA_ALA	-180 	-120 	0 	4.27245454799e-95 	217.293395337
GENERIC_OLIGOUREA_ALA	-180 	-120 	10 	5.28224403381e-89 	203.265722263
GENERIC_OLIGOUREA_ALA	-180 	-120 	20 	4.62523285706e-75 	171.162355257
GENERIC_OLIGOUREA_ALA	-180 	-120 	30 	1.79451523519e-59 	135.267785565
GENERIC_OLIGOUREA_ALA	-180 	-120 	40 	4.14605251857e-42 	95.2864172245
GENERIC_OLIGOUREA_ALA	-180 	-120 	50 	5.72531029362e-23 	51.2145603911
GENERIC_OLIGOUREA_ALA	-180 	-120 	60 	1.63491891922e-10 	22.5342577175
GENERIC_OLIGOUREA_ALA	-180 	-120 	70 	6.36384429734e-06 	11.964877914
GENERIC_OLIGOUREA_ALA	-180 	-120 	80 	3.54289226825e-05 	10.2479820465
GENERIC_OLIGOUREA_ALA	-180 	-120 	90 	4.24604388157e-05 	10.0669377669
GENERIC_OLIGOUREA_ALA	-180 	-120 	100 	3.0919200489e-05 	10.384133192
GENERIC_OLIGOUREA_ALA	-180 	-120 	110 	1.95873012071e-05 	10.8406290993
GENERIC_OLIGOUREA_ALA	-180 	-120 	120 	1.45290421201e-05 	11.1393610068
GENERIC_OLIGOUREA_ALA	-180 	-120 	130 	1.52774149686e-05 	11.089134966
GENERIC_OLIGOUREA_ALA	-180 	-120 	140 	2.18920421953e-05 	10.7293873573
GENERIC_OLIGOUREA_ALA	-180 	-120 	150 	3.47997175152e-05 	10.2659012886
GENERIC_OLIGOUREA_ALA	-180 	-120 	160 	5.114590393e-05 	9.88082814834
GENERIC_OLIGOUREA_ALA	-180 	-120 	170 	6.45362290922e-05 	9.6482838005
GENERIC_OLIGOUREA_ALA	-180 	-120 	180 	6.95456077835e-05 	9.57352779352
GENERIC_OLIGOUREA_ALA	-180 	-110 	-180 	7.26026938966e-05 	9.53050853081
GENERIC_OLIGOUREA_ALA	-180 	-110 	-170 	6.72489831512e-05 	9.60710866002
GENERIC_OLIGOUREA_ALA	-180 	-110 	-160 	5.32054449057e-05 	9.841349819
GENERIC_OLIGOUREA_ALA	-180 	-110 	-150 	3.60784853807e-05 	10.2298138431
GENERIC_OLIGOUREA_ALA	-180 	-110 	-140 	2.24332888413e-05 	10.7049645933
GENERIC_OLIGOUREA_ALA	-180 	-110 	-130 	1.52195218131e-05 	11.0929316243
GENERIC_OLIGOUREA_ALA	-180 	-110 	-120 	1.38449844484e-05 	11.1875875246
GENERIC_OLIGOUREA_ALA	-180 	-110 	-110 	1.76458554966e-05 	10.9450096182
GENERIC_OLIGOUREA_ALA	-180 	-110 	-100 	2.54912066727e-05 	10.5771770016
GENERIC_OLIGOUREA_ALA	-180 	-110 	-90 	2.82757149874e-05 	10.4735072494
GENERIC_OLIGOUREA_ALA	-180 	-110 	-80 	1.00961654225e-05 	11.5033548673
GENERIC_OLIGOUREA_ALA	-180 	-110 	-70 	6.27051351285e-09 	18.8874075857
GENERIC_OLIGOUREA_ALA	-180 	-110 	-60 	2.33204959865e-19 	42.9023692299
GENERIC_OLIGOUREA_ALA	-180 	-110 	-50 	4.30291562429e-36 	81.4337705027
GENERIC_OLIGOUREA_ALA	-180 	-110 	-40 	4.99116247307e-53 	120.429341086
GENERIC_OLIGOUREA_ALA	-180 	-110 	-30 	7.11599370847e-70 	159.218611624
GENERIC_OLIGOUREA_ALA	-180 	-110 	-20 	6.26189918307e-85 	193.885249382
GENERIC_OLIGOUREA_ALA	-180 	-110 	-10 	7.41167342038e-92 	209.834772309
GENERIC_OLIGOUREA_ALA	-180 	-110 	0 	6.42671195595e-90 	205.372195322
GENERIC_OLIGOUREA_ALA	-180 	-110 	10 	1.17481247897e-79 	181.743113804
